nV = 5;
nC = 30;
c = [
[1E+08, 160.2, 147.3, 196.9, 186.2, 199.7, 119.5, 124.7, 189.9, 139.1, 108.1, 109.1, 152.3, 159.5, 159.9, 180.2, 125.7, 122.6, 154.9, 159.5, 177.5, 149.7, 107.3, 123.7, 148.6, 189, 169.7, 159.1, 195.4, 199.4, 129.9, 0],
[160.2, 1E+08, 120.1, 170.4, 190.8, 118.9, 138.2, 194.9, 139.1, 199.8, 183.9, 115.6, 116, 117, 159.4, 115.6, 166.8, 109.7, 121.2, 142.4, 179.9, 195.6, 104.2, 149.5, 128.6, 167.9, 152.9, 123.6, 148.2, 197.2, 130.1, 160.2],
[147.3, 120.1, 1E+08, 129.2, 190.5, 109.2, 109.5, 189, 181.8, 168.7, 141, 142, 130.9, 183.5, 155.2, 175.6, 161.9, 133.6, 190.3, 164.4, 133, 122.3, 159.9, 137.9, 153.1, 119.5, 134.3, 194.4, 170.5, 141.8, 122.8, 147.3],
[196.9, 170.4, 129.2, 1E+08, 114.6, 146.6, 141.9, 169.7, 123.5, 186.3, 125.5, 107.7, 149.8, 126.6, 184.9, 141, 180.2, 100.3, 149, 112.1, 149, 173.9, 166.7, 134.3, 162.6, 159.3, 115.2, 174.9, 170.1, 122.5, 176.2, 196.9],
[186.2, 190.8, 190.5, 114.6, 1E+08, 175, 115.1, 118.5, 140, 145.9, 175, 127.5, 184.3, 141.6, 185.5, 152.2, 175.6, 108.1, 182.6, 114.5, 106.4, 137.3, 118.9, 157.7, 152.7, 170.5, 122.1, 145.4, 196.6, 175.1, 188.5, 186.2],
[199.7, 118.9, 109.2, 146.6, 175, 1E+08, 155.3, 131.4, 167, 199.6, 101, 110.2, 154.5, 132.8, 134.7, 108.1, 144.9, 195.1, 105.2, 172.8, 164.7, 170.6, 163.5, 121.8, 191.1, 126.1, 180, 144.7, 108.9, 137.6, 151.2, 199.7],
[119.5, 138.2, 109.5, 141.9, 115.1, 155.3, 1E+08, 123.4, 100.5, 152.8, 169.7, 121.9, 164.9, 157.3, 171.6, 172.2, 152.9, 174.6, 185.9, 151.2, 165.4, 153.7, 149.8, 179.8, 198.3, 192.4, 123.8, 152.5, 179.9, 105.8, 151.6, 119.5],
[124.7, 194.9, 189, 169.7, 118.5, 131.4, 123.4, 1E+08, 174.8, 183.9, 162.4, 123.4, 110.6, 122.5, 129.4, 148.4, 136.2, 186.7, 154, 179.9, 165, 186.2, 180, 137.8, 133.7, 100.7, 111.9, 196, 177.6, 170.6, 125.7, 124.7],
[189.9, 139.1, 181.8, 123.5, 140, 167, 100.5, 174.8, 1E+08, 130.2, 164.9, 110.6, 145.2, 127.4, 112.3, 143.5, 194.7, 101.3, 187.8, 147.1, 181, 194.9, 148.2, 161.6, 130.4, 145.2, 137.5, 115, 178.7, 199.7, 169.9, 189.9],
[139.1, 199.8, 168.7, 186.3, 145.9, 199.6, 152.8, 183.9, 130.2, 1E+08, 112.1, 112.4, 186, 118.8, 179.2, 193.9, 155.5, 104.4, 104.3, 158.2, 189.9, 193.2, 145.7, 112, 184.2, 121.1, 123.9, 143.2, 159.3, 178.7, 177.2, 139.1],
