nV = 1;
nC = 4;
c = [
[1E+08, 107.5, 118.5, 192, 163.8, 0],
[107.5, 1E+08, 182.6, 102.3, 164.3, 107.5],
[118.5, 182.6, 1E+08, 121.3, 157.7, 118.5],
[192, 102.3, 121.3, 1E+08, 135.1, 192],
[163.8, 164.3, 157.7, 135.1, 1E+08, 163.8],
[0, 107.5, 118.5, 192, 163.8, 1E+08]
];
t = [
[1E+08, 59.1, 34, 22.5, 57.4, 0],
[59.1, 1E+08, 55.6, 46.3, 37.1, 59.1],
[34, 55.6, 1E+08, 47.4, 50.2, 34],
[22.5, 46.3, 47.4, 1E+08, 59.8, 22.5],
[57.4, 37.1, 50.2, 59.8, 1E+08, 57.4],
[0, 59.1, 34, 22.5, 57.4, 1E+08]
];
q = 10;
d = [0, 1.3, 1.3, 1.8, 1.5, 0];
a = [0, 816.4, 687.3, 825.5, 1059, 0];
b = [1440, 831.4, 702.3, 840.5, 1074, 1440];
M = 2000;
