K = 5;
Q = 8;
nV = 10;
d = [
[0, 5.1, 5.3, 19.4, 4.7, 3.2, 3.8, 9.1, 10.2, 10.6, 14.3, 0],
[5.1, 0, 4.4, 19.4, 13, 17.4, 11.4, 11.5, 19, 17.4, 19.6, 10.2],
[5.3, 4.4, 0, 7.3, 16.9, 5.4, 17.1, 4.4, 14.6, 12.6, 10.1, 14.5],
[19.4, 19.4, 7.3, 0, 16.2, 10.9, 13.1, 5.3, 10.8, 11.3, 12.5, 4.8],
[4.7, 13, 16.9, 16.2, 0, 9.4, 19.8, 13.9, 15, 16.8, 17.1, 6.3],
[3.2, 17.4, 5.4, 10.9, 9.4, 0, 4.5, 7.1, 3.8, 13.2, 16.8, 17.9],
[3.8, 11.4, 17.1, 13.1, 19.8, 4.5, 0, 11.6, 10.1, 4.7, 6.8, 17.8],
[9.1, 11.5, 4.4, 5.3, 13.9, 7.1, 11.6, 0, 8.5, 17, 7.6, 18.8],
[10.2, 19, 14.6, 10.8, 15, 3.8, 10.1, 8.5, 0, 9.2, 16.5, 3.1],
[10.6, 17.4, 12.6, 11.3, 16.8, 13.2, 4.7, 17, 9.2, 0, 16.1, 18.1],
[14.3, 19.6, 10.1, 12.5, 17.1, 16.8, 6.8, 7.6, 16.5, 16.1, 0, 11.4],
[0, 10.2, 14.5, 4.8, 6.3, 17.9, 17.8, 18.8, 3.1, 18.1, 11.4, 0]
];
t = [
[0, 18.8, 19.6, 13, 3.3, 7.1, 12.6, 8.8, 8.1, 3.4, 14.8, 0],
[18.8, 0, 7, 16.4, 9.8, 8.1, 14, 3.6, 4.8, 4.5, 9.2, 6.2],
[19.6, 7, 0, 6.8, 16.2, 18.2, 10.1, 19.5, 8.4, 15.5, 5.7, 3],
[13, 16.4, 6.8, 0, 12.3, 14.9, 4, 15.9, 18.1, 10.6, 16.5, 18.2],
[3.3, 9.8, 16.2, 12.3, 0, 12.8, 18.5, 13.7, 4.5, 9.8, 11.1, 19.5],
[7.1, 8.1, 18.2, 14.9, 12.8, 0, 7.1, 18.4, 13.6, 14.6, 17.6, 13.8],
[12.6, 14, 10.1, 4, 18.5, 7.1, 0, 3.3, 11.4, 18.3, 13.4, 15],
[8.8, 3.6, 19.5, 15.9, 13.7, 18.4, 3.3, 0, 6.4, 14.8, 13.2, 7.6],
[8.1, 4.8, 8.4, 18.1, 4.5, 13.6, 11.4, 6.4, 0, 7.2, 13.3, 5.4],
[3.4, 4.5, 15.5, 10.6, 9.8, 14.6, 18.3, 14.8, 7.2, 0, 3.4, 5.5],
[14.8, 9.2, 5.7, 16.5, 11.1, 17.6, 13.4, 13.2, 13.3, 3.4, 0, 7],
[0, 6.2, 3, 18.2, 19.5, 13.8, 15, 7.6, 5.4, 5.5, 7, 0]
];
g = [0, 9.3, 7.5, 5.4, 8.5, 6.6, 9.2, 9.9, 9.2, 9, 5.6, 0];
q = [0, 8.2, 8.1, 9.2, 8.7, 8.4, 8.9, 5.4, 8.4, 6.4, 7.1, 0];
s = [0, 8.4, 5.3, 7.4, 6.5, 7.9, 7.6, 5.1, 5, 8.1, 8.2, 0];
a = [0, 3.1, 2.3, 15.7, 1.4, 21.8, 21.1, 19.3, 21.5, 18.5, 15.1, 0];
b = [0, 3.3, 2.5, 15.9, 1.7, 22, 21.4, 19.5, 21.8, 18.7, 15.3, 0];
mR = 10;
mK = 1;
alpha = 1;
tmax = 10;
beta = 0.2;
M = 1000;
