nLP = 2;
nCTM = 2;
nCT = 11;
c = [
[1E+08, 101.3, 117.6, 120.1, 183.6, 194.8, 151.6, 152.1, 107.2, 110.6, 197.7, 166.1, 196.5, 101.3, 0],
[101.3, 1E+08, 139.3, 139, 127.1, 127.8, 152.5, 160.2, 107.4, 162.5, 200, 188.8, 129.2, 0, 101.3],
[117.6, 139.3, 1E+08, 134.7, 191.9, 191.6, 161.3, 140.8, 107.7, 154.8, 156.7, 187.1, 112.3, 139.3, 117.6],
[120.1, 139, 134.7, 1E+08, 164.4, 173.1, 146.3, 160.6, 141.1, 129, 182.8, 129.9, 184.9, 139, 120.1],
[183.6, 127.1, 191.9, 164.4, 1E+08, 115.1, 129.7, 187.8, 134.1, 100.7, 138.8, 117.6, 131.3, 127.1, 183.6],
[194.8, 127.8, 191.6, 173.1, 115.1, 1E+08, 191.8, 117.4, 115.3, 119, 136.5, 125.3, 188.8, 127.8, 194.8],
[151.6, 152.5, 161.3, 146.3, 129.7, 191.8, 1E+08, 152.2, 126.6, 159, 109.5, 188.1, 187.1, 152.5, 151.6],
[152.1, 160.2, 140.8, 160.6, 187.8, 117.4, 152.2, 1E+08, 158.8, 159.8, 146.4, 139.4, 174.9, 160.2, 152.1],
[107.2, 107.4, 107.7, 141.1, 134.1, 115.3, 126.6, 158.8, 1E+08, 176.5, 131.5, 153, 173.7, 107.4, 107.2],
[110.6, 162.5, 154.8, 129, 100.7, 119, 159, 159.8, 176.5, 1E+08, 169.5, 181, 113.7, 162.5, 110.6],
[197.7, 200, 156.7, 182.8, 138.8, 136.5, 109.5, 146.4, 131.5, 169.5, 1E+08, 155.7, 131, 200, 197.7],
[166.1, 188.8, 187.1, 129.9, 117.6, 125.3, 188.1, 139.4, 153, 181, 155.7, 1E+08, 103.7, 188.8, 166.1],
[196.5, 129.2, 112.3, 184.9, 131.3, 188.8, 187.1, 174.9, 173.7, 113.7, 131, 103.7, 1E+08, 129.2, 196.5],
[101.3, 0, 139.3, 139, 127.1, 127.8, 152.5, 160.2, 107.4, 162.5, 200, 188.8, 129.2, 1E+08, 101.3],
[0, 101.3, 117.6, 120.1, 183.6, 194.8, 151.6, 152.1, 107.2, 110.6, 197.7, 166.1, 196.5, 101.3, 1E+08]
];
t = [
[1E+08, 58.7, 28.7, 57.1, 23.4, 21.4, 49.3, 46, 34.7, 58.3, 20.6, 35.2, 39.3, 58.7, 0],
[58.7, 1E+08, 22.7, 25.6, 33.3, 23.2, 53, 21.4, 47.8, 22.4, 24.6, 40.3, 39.6, 0, 58.7],
[28.7, 22.7, 1E+08, 32.6, 52.5, 51.2, 31.7, 31.9, 58.6, 25.6, 21.4, 30.3, 29.5, 22.7, 28.7],
[57.1, 25.6, 32.6, 1E+08, 28.8, 41.5, 22.4, 36.8, 32.1, 38.7, 25.5, 35.8, 47, 25.6, 57.1],
[23.4, 33.3, 52.5, 28.8, 1E+08, 42, 21.4, 51, 38.1, 55.1, 56.3, 24.1, 36.8, 33.3, 23.4],
[21.4, 23.2, 51.2, 41.5, 42, 1E+08, 54, 33.4, 42.2, 27, 48.9, 23.3, 40.7, 23.2, 21.4],
[49.3, 53, 31.7, 22.4, 21.4, 54, 1E+08, 52.4, 56.1, 25, 37, 44.2, 39.9, 53, 49.3],
[46, 21.4, 31.9, 36.8, 51, 33.4, 52.4, 1E+08, 52.5, 21.6, 34, 38.7, 28.3, 21.4, 46],
[34.7, 47.8, 58.6, 32.1, 38.1, 42.2, 56.1, 52.5, 1E+08, 29.3, 30.2, 40.9, 40.5, 47.8, 34.7],
[58.3, 22.4, 25.6, 38.7, 55.1, 27, 25, 21.6, 29.3, 1E+08, 26.2, 52.7, 44.5, 22.4, 58.3],
[20.6, 24.6, 21.4, 25.5, 56.3, 48.9, 37, 34, 30.2, 26.2, 1E+08, 28.1, 40.2, 24.6, 20.6],
[35.2, 40.3, 30.3, 35.8, 24.1, 23.3, 44.2, 38.7, 40.9, 52.7, 28.1, 1E+08, 35.3, 40.3, 35.2],
[39.3, 39.6, 29.5, 47, 36.8, 40.7, 39.9, 28.3, 40.5, 44.5, 40.2, 35.3, 1E+08, 39.6, 39.3],
[58.7, 0, 22.7, 25.6, 33.3, 23.2, 53, 21.4, 47.8, 22.4, 24.6, 40.3, 39.6, 1E+08, 58.7],
[0, 58.7, 28.7, 57.1, 23.4, 21.4, 49.3, 46, 34.7, 58.3, 20.6, 35.2, 39.3, 58.7, 1E+08]
];
q = 10;
tc = [30, 30];
d = [0, 0, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 0, 0];
p = [0, 0, 5521.5, 5529, 5523.4, 5523, 5529.4, 5530.9, 5526.8, 5533.4, 5525.7, 5528.5, 5528, 0, 0];
a = [0, 0, 965.6, 723.6, 805.2, 455.7, 857.8, 514.4, 837.5, 990.2, 489.3, 824.3, 912.4, 0, 0];
b = [1455, 1455, 980.6, 738.6, 820.2, 470.7, 872.8, 529.4, 852.5, 1005.2, 504.3, 839.3, 927.4, 1455, 1455];
sd = [1, 2];
cfr = [0, 0, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0];
M = 2000;
MjobShop = 2000;
